task,model,mean_fit_time,param_model__C,param_model__class_weight,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_test_f1,std_test_f1,rank_test_f1,param_model__n_neighbors,param_model__p,param_model__weights
binary_benign_vs_malicious,Logistic Regression,0.2249772548675537,10.0,balanced,0.8560781766867306,0.0044204149267413045,4,0.8353087167361707,0.0063324187035538266,1,0.7811523224384201,0.007847523054801908,1,,,
binary_benign_vs_malicious,Logistic Regression,0.40005938212076825,1.0,balanced,0.8559687999777195,0.0042658255555505,5,0.8351086211919071,0.0061520901941387075,2,0.7809198442938997,0.007610982379897109,2,,,
binary_benign_vs_malicious,Logistic Regression,0.2950231234232585,0.1,balanced,0.8557344257100156,0.004462660516636265,6,0.8341411909739175,0.006138770390962195,3,0.7799482114020037,0.007743017984233375,3,,,
binary_benign_vs_malicious,Logistic Regression,0.32340844472249347,10.0,,0.863156292168851,0.0022779525306457337,3,0.8148292332389087,0.0030541400646966975,4,0.7650774444049985,0.004385205965559164,5,,,
binary_benign_vs_malicious,Logistic Regression,0.5163306395212809,1.0,,0.8632656578917057,0.001989784622627514,2,0.814792937240601,0.002964237246231758,5,0.7650912161607146,0.004144396407782376,4,,,
binary_benign_vs_malicious,Logistic Regression,0.22109206517537436,0.1,,0.8636406542298366,0.0019378366431995091,1,0.8143763406672182,0.002975472463320474,6,0.7648379549014654,0.004155431285790129,6,,,
binary_benign_vs_malicious,k-NN,0.044483582178751625,,,0.9442500195037237,0.0009949841860354782,1,0.9336151595849027,0.001123092721629205,1,0.9148814468083136,0.0015188900694659924,1,5.0,1.0,uniform
binary_benign_vs_malicious,k-NN,0.04725996653238932,,,0.9440000287808002,0.0013030325695714835,2,0.9332389095383715,0.0015676467932817057,2,0.9144663485125776,0.0020238560946324964,2,5.0,1.0,distance
binary_benign_vs_malicious,k-NN,0.06173976262410482,,,0.9438906410856328,0.0007319662593724605,3,0.9325541921954031,0.0009369530574767536,3,0.9141048219185324,0.0011570383420615913,3,11.0,1.0,distance
binary_benign_vs_malicious,k-NN,0.057466745376586914,,,0.9427656557332921,0.0013913565560072702,6,0.9319601500271618,0.001859359484940114,4,0.9126188101064358,0.002227879444335153,4,5.0,2.0,uniform
binary_benign_vs_malicious,k-NN,0.059220472971598305,,,0.9428125175499272,0.0008267526294403372,5,0.9315578630574639,0.0009054678294703883,5,0.9125324187691097,0.0012549981387516048,6,11.0,1.0,uniform
binary_benign_vs_malicious,k-NN,0.06039206186930338,,,0.942343777071034,0.0012323972637775058,8,0.9315260680744458,0.0015596777975344367,6,0.9119906977730629,0.0019423628918131737,8,5.0,2.0,distance
binary_benign_vs_malicious,k-NN,0.05597623189290365,,,0.9425156423056454,0.0007833978861771353,7,0.9311701067479802,0.0009993474915143577,7,0.9120587658551048,0.0012354295504728484,7,11.0,2.0,distance
binary_benign_vs_malicious,k-NN,0.053588310877482094,,,0.9430468808314748,0.0004339361010188342,4,0.9310005180189972,0.0004232355392120165,8,0.9126006228575371,0.0006371489515931905,5,21.0,1.0,distance
binary_benign_vs_malicious,k-NN,0.052808920542399086,,,0.9411562555864149,0.0003546908913412997,10,0.9298213913829058,0.0003953749628988823,9,0.9100463939264799,0.0005328159918009573,10,11.0,2.0,uniform
binary_benign_vs_malicious,k-NN,0.06505322456359863,,,0.9420156322957921,0.0003639373137501953,9,0.9296256176929054,0.0006587851523909286,10,0.9109403526281289,0.0006473824223048283,9,31.0,1.0,distance
binary_benign_vs_malicious,k-NN,0.05932823816935221,,,0.9405468791212964,0.0011443799906836675,11,0.9283132242264021,0.0013465455904009224,11,0.9088117589771083,0.0017682675972140883,11,21.0,2.0,distance
binary_benign_vs_malicious,k-NN,0.05491097768147787,,,0.939796875458878,0.0006892426657460603,13,0.9278226223535221,0.0010927372485697074,12,0.9077928515460792,0.0011690705944519297,12,21.0,1.0,uniform
binary_benign_vs_malicious,k-NN,0.053783416748046875,,,0.9398437445996174,0.0006593480571825801,12,0.9272194611446748,0.00098491802741225,13,0.9076199744210821,0.0010551483343083493,13,31.0,2.0,distance
binary_benign_vs_malicious,k-NN,0.05508724848429362,,,0.9372031369320416,0.0006509895926072989,14,0.9249114621201512,0.0010800425690448716,14,0.9038250003452296,0.0011051496122621103,14,31.0,1.0,uniform
binary_benign_vs_malicious,k-NN,0.05341672897338867,,,0.9369218810726209,0.0014989516448038831,15,0.9245945582974745,0.0023125728085053605,15,0.9033893751863378,0.0025326990229224793,15,21.0,2.0,uniform
binary_benign_vs_malicious,k-NN,0.05813765525817871,,,0.9351406383958555,0.0009915297574501103,16,0.9228117311102032,0.0015438503945107442,16,0.9007551252083688,0.001677131994849734,16,31.0,2.0,uniform
