class,feature,coefficient,abs_coefficient,odds_ratio,direction,unit
malicious,has_scheme,5.9056,5.9056,367.0949,positive,feature present vs absent
malicious,has_percent_encoding,-2.2193,2.2193,0.1087,negative,feature present vs absent
malicious,has_query,-1.6949,1.6949,0.1836,negative,feature present vs absent
malicious,path_length,-1.4932,1.4932,0.2246,negative,per 1 SD increase
malicious,token_login,-1.3126,1.3126,0.2691,negative,feature present vs absent
malicious,token_verify,1.2104,1.2104,3.3547,positive,feature present vs absent
malicious,subdomain_count,1.1696,1.1696,3.2206,positive,per 1 SD increase
malicious,has_at_symbol,1.1692,1.1692,3.2196,positive,feature present vs absent
malicious,url_length,0.9143,0.9143,2.495,positive,per 1 SD increase
malicious,host_length,-0.7865,0.7865,0.4554,negative,per 1 SD increase
malicious,hyphen_count,-0.7722,0.7722,0.462,negative,per 1 SD increase
malicious,token_account,0.7366,0.7366,2.0889,positive,feature present vs absent
malicious,has_ip_host,0.67,0.67,1.9542,positive,feature present vs absent
malicious,token_secure,-0.576,0.576,0.5622,negative,feature present vs absent
malicious,token_bank,-0.5186,0.5186,0.5953,negative,feature present vs absent
malicious,query_length,-0.417,0.417,0.659,negative,per 1 SD increase
malicious,token_update,0.3662,0.3662,1.4422,positive,feature present vs absent
malicious,slash_count,-0.3599,0.3599,0.6977,negative,per 1 SD increase
malicious,digit_count,-0.2875,0.2875,0.7502,negative,per 1 SD increase
malicious,dot_count,0.163,0.163,1.1771,positive,per 1 SD increase
malicious,path_depth,-0.0338,0.0338,0.9667,negative,per 1 SD increase
