class,feature,coefficient,abs_coefficient,odds_ratio,direction,unit
benign,url_length,10.807,10.807,49363.1261,positive,per 1 SD increase
benign,has_scheme,-10.3198,10.3198,0.0,negative,feature present vs absent
benign,query_length,-8.149,8.149,0.0003,negative,per 1 SD increase
benign,path_length,-6.1788,6.1788,0.0021,negative,per 1 SD increase
benign,token_verify,6.1695,6.1695,477.9628,positive,feature present vs absent
benign,token_secure,3.7028,3.7028,40.5588,positive,feature present vs absent
benign,token_login,2.2421,2.2421,9.4131,positive,feature present vs absent
benign,host_length,-2.2377,2.2377,0.1067,negative,per 1 SD increase
benign,has_ip_host,1.6746,1.6746,5.3366,positive,feature present vs absent
benign,has_percent_encoding,1.6602,1.6602,5.2605,positive,feature present vs absent
benign,token_bank,1.3943,1.3943,4.032,positive,feature present vs absent
benign,slash_count,1.2631,1.2631,3.5364,positive,per 1 SD increase
benign,has_at_symbol,0.8657,0.8657,2.3766,positive,feature present vs absent
benign,subdomain_count,-0.8267,0.8267,0.4375,negative,per 1 SD increase
benign,has_query,0.7912,0.7912,2.206,positive,feature present vs absent
benign,hyphen_count,0.7353,0.7353,2.0861,positive,per 1 SD increase
benign,token_update,0.592,0.592,1.8076,positive,feature present vs absent
benign,path_depth,-0.5188,0.5188,0.5952,negative,per 1 SD increase
benign,token_account,0.336,0.336,1.3993,positive,feature present vs absent
benign,dot_count,-0.2748,0.2748,0.7597,negative,per 1 SD increase
benign,digit_count,0.1911,0.1911,1.2106,positive,per 1 SD increase
defacement,url_length,-69.5943,69.5943,0.0,negative,per 1 SD increase
defacement,query_length,53.0884,53.0884,1.1375752654542969e+23,positive,per 1 SD increase
defacement,path_length,43.6027,43.6027,8.637633361596235e+18,positive,per 1 SD increase
defacement,has_scheme,24.3271,24.3271,36739462762.5121,positive,feature present vs absent
defacement,host_length,16.8901,16.8901,21640798.2739,positive,per 1 SD increase
defacement,token_verify,-12.3307,12.3307,0.0,negative,feature present vs absent
defacement,token_secure,-10.4466,10.4466,0.0,negative,feature present vs absent
defacement,has_ip_host,-6.5385,6.5385,0.0014,negative,feature present vs absent
defacement,has_at_symbol,-3.3333,3.3333,0.0357,negative,feature present vs absent
defacement,slash_count,-3.2934,3.2934,0.0371,negative,per 1 SD increase
defacement,token_login,-2.3636,2.3636,0.0941,negative,feature present vs absent
defacement,path_depth,2.179,2.179,8.8376,positive,per 1 SD increase
defacement,has_query,1.8643,1.8643,6.4511,positive,feature present vs absent
defacement,has_percent_encoding,-1.7893,1.7893,0.1671,negative,feature present vs absent
defacement,token_account,-1.6917,1.6917,0.1842,negative,feature present vs absent
defacement,token_update,-1.5926,1.5926,0.2034,negative,feature present vs absent
defacement,digit_count,-1.0281,1.0281,0.3577,negative,per 1 SD increase
defacement,token_bank,-0.9114,0.9114,0.402,negative,feature present vs absent
defacement,subdomain_count,0.5522,0.5522,1.7371,positive,per 1 SD increase
defacement,dot_count,0.2854,0.2854,1.3303,positive,per 1 SD increase
defacement,hyphen_count,0.0912,0.0912,1.0955,positive,per 1 SD increase
malware,url_length,33.5078,33.5078,356645931338373.2,positive,per 1 SD increase
malware,query_length,-26.1176,26.1176,0.0,negative,per 1 SD increase
malware,path_length,-21.244,21.244,0.0,negative,per 1 SD increase
malware,host_length,-8.4081,8.4081,0.0002,negative,per 1 SD increase
malware,has_scheme,-5.5788,5.5788,0.0038,negative,feature present vs absent
malware,has_ip_host,4.3201,4.3201,75.1954,positive,feature present vs absent
malware,token_secure,3.1334,3.1334,22.9516,positive,feature present vs absent
malware,token_bank,-2.2242,2.2242,0.1082,negative,feature present vs absent
malware,token_verify,-1.9813,1.9813,0.1379,negative,feature present vs absent
malware,token_login,-1.3215,1.3215,0.2667,negative,feature present vs absent
malware,has_query,-1.1139,1.1139,0.3283,negative,feature present vs absent
malware,path_depth,-0.9819,0.9819,0.3746,negative,per 1 SD increase
malware,slash_count,0.7811,0.7811,2.184,positive,per 1 SD increase
malware,digit_count,0.7354,0.7354,2.0863,positive,per 1 SD increase
malware,token_update,-0.4944,0.4944,0.61,negative,feature present vs absent
malware,hyphen_count,-0.493,0.493,0.6108,negative,per 1 SD increase
malware,has_percent_encoding,0.2331,0.2331,1.2625,positive,feature present vs absent
malware,token_account,-0.229,0.229,0.7953,negative,feature present vs absent
malware,dot_count,0.1825,0.1825,1.2003,positive,per 1 SD increase
malware,subdomain_count,-0.1368,0.1368,0.8721,negative,per 1 SD increase
malware,has_at_symbol,0.1259,0.1259,1.1342,positive,feature present vs absent
phishing,url_length,25.2796,25.2796,95229571033.6823,positive,per 1 SD increase
phishing,query_length,-18.8217,18.8217,0.0,negative,per 1 SD increase
phishing,path_length,-16.1798,16.1798,0.0,negative,per 1 SD increase
phishing,has_scheme,-8.4285,8.4285,0.0002,negative,feature present vs absent
phishing,token_verify,8.1425,8.1425,3437.4706,positive,feature present vs absent
phishing,host_length,-6.2443,6.2443,0.0019,negative,per 1 SD increase
phishing,token_secure,3.6105,3.6105,36.9829,positive,feature present vs absent
phishing,has_at_symbol,2.3417,2.3417,10.399,positive,feature present vs absent
phishing,token_bank,1.7414,1.7414,5.7053,positive,feature present vs absent
phishing,token_account,1.5848,1.5848,4.8784,positive,feature present vs absent
phishing,has_query,-1.5416,1.5416,0.214,negative,feature present vs absent
phishing,token_update,1.495,1.495,4.4594,positive,feature present vs absent
phishing,token_login,1.443,1.443,4.2336,positive,feature present vs absent
phishing,slash_count,1.2492,1.2492,3.4874,positive,per 1 SD increase
phishing,path_depth,-0.6783,0.6783,0.5075,negative,per 1 SD increase
phishing,has_ip_host,0.5438,0.5438,1.7226,positive,feature present vs absent
phishing,subdomain_count,0.4113,0.4113,1.5088,positive,per 1 SD increase
phishing,hyphen_count,-0.3335,0.3335,0.7164,negative,per 1 SD increase
