task,model,class,precision,recall,f1,support
multiclass_url_type,Majority baseline,benign,0.6678,1.0,0.8008,10685
multiclass_url_type,Majority baseline,defacement,0.0,0.0,0.0,2379
multiclass_url_type,Majority baseline,malware,0.0,0.0,0.0,591
multiclass_url_type,Majority baseline,phishing,0.0,0.0,0.0,2345
multiclass_url_type,Logistic Regression,benign,0.9452,0.7392,0.8296,10685
multiclass_url_type,Logistic Regression,defacement,0.7874,0.9575,0.8642,2379
multiclass_url_type,Logistic Regression,malware,0.6276,0.8156,0.7093,591
multiclass_url_type,Logistic Regression,phishing,0.3949,0.6708,0.4972,2345
multiclass_url_type,k-NN,benign,0.9515,0.965,0.9582,10685
multiclass_url_type,k-NN,defacement,0.9236,0.9655,0.9441,2379
multiclass_url_type,k-NN,malware,0.9404,0.8545,0.8954,591
multiclass_url_type,k-NN,phishing,0.8036,0.733,0.7667,2345
